Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,136.4852,NA,4.04030000000000,4.17320000000000,0.00000000000000,0.19670000000000,3.4950,132.4449,4.0403,4.0403,0.0000,0.2106,4.0264,0.3624,3.6640,0.1106,132.4449,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,140.7423,NA,4.25710000000000,4.17500000000000,0.00000000000000,0.17220000000000,3.4129,136.4852,4.2571,4.2571,0.0000,0.1967,4.2326,0.3506,3.8820,-0.1347,136.4852,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,145.0045,NA,4.26220000000000,4.15940000000000,0.00000000000000,0.20360000000000,3.3101,140.7423,4.2622,4.2622,0.0000,0.1722,4.2936,0.3811,3.9125,0.0977,140.7423,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,149.0741,NA,4.06960000000000,4.16340000000000,0.00000000000000,0.17860000000000,3.4039,145.0045,4.0696,4.0696,0.0000,0.2036,4.0446,0.3597,3.6849,0.0988,145.0045,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,153.1663,NA,4.09220000000000,4.18220000000000,0.00000000000000,0.19590000000000,3.4939,149.0741,4.0922,4.0922,0.0000,0.1786,4.1095,0.3577,3.7518,-0.1126,149.0741,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,157.3125,NA,4.14620000000000,4.14420000000000,0.00000000000000,0.21530000000000,3.4919,153.1663,4.1462,4.1462,0.0000,0.1959,4.1656,0.3869,3.7787,-0.0520,153.1663,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,161.5023,NA,4.18980000000000,4.16520000000000,0.00000000000000,0.18320000000000,3.4673,157.3125,4.1898,4.1898,0.0000,0.2153,4.1577,0.3518,3.8059,-0.0190,157.3125,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,165.5992,NA,4.09690000000000,4.17620000000000,0.00000000000000,0.21310000000000,3.5466,161.5023,4.0969,4.0969,0.0000,0.1832,4.1268,0.3605,3.7663,0.0136,161.5023,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,169.7476,NA,4.14840000000000,4.18100000000000,0.00000000000000,0.21420000000000,3.5792,165.5992,4.1484,4.1484,0.0000,0.2131,4.1495,0.3651,3.7844,-0.0841,165.5992,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,174.2081,NA,4.46050000000000,4.16150000000000,0.00000000000000,0.16970000000000,3.2802,169.7476,4.4605,4.4605,0.0000,0.2142,4.4160,0.3784,4.0376,-0.0131,169.7476,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,178.2608,NA,4.05270000000000,4.16930000000000,0.00000000000000,0.20980000000000,3.3968,174.2081,4.0527,4.0527,0.0000,0.1697,4.0928,0.3862,3.7066,0.2912,174.2081,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,182.3954,NA,4.13460000000000,4.16360000000000,0.00000000000000,0.19430000000000,3.4258,178.2608,4.1346,4.1346,0.0000,0.2098,4.1191,0.3720,3.7471,-0.1109,178.2608,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,186.4869,NA,4.09150000000000,4.16220000000000,0.00000000000000,0.18750000000000,3.4965,182.3954,4.0915,4.0915,0.0000,0.1943,4.0847,0.3681,3.7166,-0.0276,182.3954,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,190.5907,NA,4.10380000000000,4.16750000000000,0.00000000000000,0.20880000000000,3.5602,186.4869,4.1038,4.1038,0.0000,0.1875,4.1251,0.3678,3.7573,-0.0760,186.4869,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,194.8437,NA,4.25300000000000,4.16180000000000,0.00000000000000,0.19720000000000,3.4690,190.5907,4.2530,4.2530,0.0000,0.2088,4.2414,0.3634,3.8780,-0.0580,190.5907,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,199.3306,NA,4.48690000000000,4.15650000000000,0.00000000000000,0.18200000000000,3.1386,194.8437,4.4869,4.4869,0.0000,0.1972,4.4717,0.4027,4.0690,0.0965,194.8437,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,203.2090,NA,3.87840000000000,4.17890000000000,0.00000000000000,0.19550000000000,3.4391,199.3306,3.8784,3.8784,0.0000,0.1820,3.8919,0.3570,3.5349,0.3080,199.3306,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,207.4160,NA,4.20700000000000,4.16980000000000,0.00000000000000,0.17800000000000,3.4019,203.2090,4.2070,4.2070,0.0000,0.1955,4.1895,0.3504,3.8391,-0.2914,203.2090,NA,NA,NA
dwm.exe,2752,0x0,Other,-1,0,0,Hardware: Legacy Flip,211.5176,NA,4.10160000000000,4.15030000000000,0.00000000000000,0.18250000000000,3.4506,207.4160,4.1016,4.1016,0.0000,0.1780,4.1061,0.3691,3.7370,0.0567,207.4160,NA,NA,NA
